minprice,maxprice,modalprice,pricedate
2000,2000,2000,31-Jan-23
1700,1800,1800,31-Aug-22
1600,1600,1600,30-Aug-22
4032,4032,4032,16-Mar-24
5990,5990,5990,02-Feb-24
5550,5550,5550,18-Jan-24
3320,3320,3320,28-Dec-23
3080,3080,3080,16-Oct-23
5270,5270,5270,03-Oct-23
5890,5890,5890,08-Sep-23
5800,6200,5888,25-Jul-23
4670,4670,4670,23-Dec-22
5700,5800,5750,23-Apr-24
5900,6000,5950,23-Apr-24
3600,3900,3750,23-Apr-24
3600,3900,3750,22-Apr-24
5700,5800,5750,22-Apr-24
5900,6000,5950,22-Apr-24
5900,6000,5950,19-Apr-24
5700,5800,5750,19-Apr-24
3600,3900,3750,19-Apr-24
3600,3900,3750,18-Apr-24
5900,6000,5950,18-Apr-24
5700,5800,5750,18-Apr-24
5900,6000,5950,17-Apr-24
5700,5800,5750,17-Apr-24
3600,3900,3750,17-Apr-24
3600,3900,3750,16-Apr-24
5700,5800,5750,16-Apr-24
5900,6000,5950,16-Apr-24
5900,6000,5950,15-Apr-24
5700,5800,5750,15-Apr-24
3600,3900,3750,15-Apr-24
3600,3900,3750,05-Apr-24
5700,5800,5750,05-Apr-24
5900,6000,5950,05-Apr-24
5900,6000,5950,30-Mar-24
5700,5800,5750,30-Mar-24
3600,3900,3750,30-Mar-24
3000,3500,3250,28-Mar-24
4800,5600,5200,28-Mar-24
5800,6400,6100,28-Mar-24
5800,6400,6100,27-Mar-24
4800,5600,5200,27-Mar-24
3000,3500,3250,27-Mar-24
3000,3500,3250,26-Mar-24
4800,5600,5200,26-Mar-24
5800,6400,6100,26-Mar-24
5800,6400,6100,25-Mar-24
4800,5600,5200,25-Mar-24
3000,3500,3250,25-Mar-24
3000,3500,3250,22-Mar-24
4800,5600,5200,22-Mar-24
5800,6400,6100,22-Mar-24
5800,6400,6100,21-Mar-24
4800,5600,5200,21-Mar-24
3000,3500,3250,21-Mar-24
3000,3500,3250,20-Mar-24
4800,5600,5200,20-Mar-24
5800,6400,6100,20-Mar-24
5800,6400,6100,18-Mar-24
4800,5600,5200,18-Mar-24
3000,3500,3250,18-Mar-24
3000,3500,3250,15-Mar-24
4800,5600,5200,15-Mar-24
5800,6400,6100,15-Mar-24
5800,6400,6100,14-Mar-24
4800,5600,5200,14-Mar-24
3000,3500,3250,14-Mar-24
3000,3500,3250,13-Mar-24
4800,5600,5200,13-Mar-24
5800,6400,6100,13-Mar-24
5800,6400,6100,12-Mar-24
4800,5600,5200,12-Mar-24
3000,3500,3250,12-Mar-24
3000,3500,3250,11-Mar-24
4800,5600,5200,11-Mar-24
5800,6400,6100,11-Mar-24
5400,6300,5850,07-Mar-24
4300,5400,4850,07-Mar-24
3800,4200,4000,07-Mar-24
3800,4200,4000,06-Mar-24
4300,5400,4850,06-Mar-24
5400,6300,5850,06-Mar-24
5400,6300,5850,05-Mar-24
4300,5400,4850,05-Mar-24
3800,4200,4000,05-Mar-24
3800,4200,4000,04-Mar-24
4300,5400,4850,04-Mar-24
5400,6300,5850,04-Mar-24
5400,6300,5850,02-Mar-24
4300,5400,4850,02-Mar-24
3800,4200,4000,02-Mar-24
3800,4200,4000,01-Mar-24
4300,5400,4850,01-Mar-24
5400,6300,5850,01-Mar-24
5400,6300,5850,29-Feb-24
4300,5400,4850,29-Feb-24
3800,4200,4000,29-Feb-24
3800,4200,4000,28-Feb-24
4300,5400,4850,28-Feb-24
5400,6300,5850,28-Feb-24
5400,6300,5850,27-Feb-24
4300,5400,4850,27-Feb-24
3800,4200,4000,27-Feb-24
3800,4200,4000,21-Feb-24
4300,5400,4850,21-Feb-24
5400,6300,5850,21-Feb-24
5400,6300,5850,20-Feb-24
4300,5400,4850,20-Feb-24
3800,4200,4000,20-Feb-24
3800,4200,4000,19-Feb-24
4300,5400,4850,19-Feb-24
5400,6300,5840,19-Feb-24
